%
% index = 2370, name = bbob_f002_i02_d20__bbob_f020_i04_d20
% instance = 1, reference value = 9.479281801480350e-001
% function evaluation | indicator value | target hit
1	5.185601649271146e+003	5.248074602497728e+003
2	1.048049129895815e+003	1.071519305237606e+003
12	9.254427293804096e+002	9.332543007969915e+002
21	5.960789653404303e+002	6.025595860743575e+002
51	5.827125401256827e+002	5.888436553555890e+002
218	4.587120767743434e+002	4.677351412871981e+002
464	4.458395342734266e+002	4.466835921509630e+002
491	4.293287260825455e+002	4.365158322401661e+002
587	4.259537789697110e+002	4.265795188015925e+002
611	4.166325278651416e+002	4.168693834703355e+002
617	3.428799616089237e+002	3.467368504525317e+002
736	1.981404275740871e+002	1.995262314968879e+002
974	1.765678462393713e+002	1.778279410038923e+002
1160	1.634360989578739e+002	1.659586907437561e+002
1181	1.393974263018132e+002	1.412537544622754e+002
1267	1.254435933423275e+002	1.258925411794168e+002
1269	1.078665305223124e+002	1.096478196143185e+002
1488	8.329368563642399e+001	8.511380382023764e+001
1593	6.591185518605117e+001	6.606934480075961e+001
1959	6.195244867232988e+001	6.309573444801933e+001
1979	5.861699111445603e+001	5.888436553555890e+001
2059	3.062367361175433e+001	3.090295432513591e+001
2145	2.183530408575546e+001	2.187761623949553e+001
2475	2.044485950457193e+001	2.089296130854040e+001
2516	1.700768104202969e+001	1.737800828749375e+001
2737	1.678238025821142e+001	1.698243652461744e+001
2841	1.496066522322153e+001	1.513561248436208e+001
2900	1.260810102406982e+001	1.288249551693134e+001
3080	6.902513101944535e+000	6.918309709189365e+000
3373	4.939207224564036e+000	5.011872336272722e+000
3611	4.815244976402036e+000	4.897788193684462e+000
3766	3.426576709422535e+000	3.467368504525317e+000
3799	3.188219895421535e+000	3.235936569296283e+000
3986	2.925385429040535e+000	2.951209226666386e+000
4162	2.628273822628035e+000	2.630267991895382e+000
4219	2.220794833908535e+000	2.238721138568339e+000
4313	1.746267664391535e+000	1.778279410038923e+000
4383	1.652728423142535e+000	1.659586907437561e+000
4530	1.449513559116535e+000	1.479108388168207e+000
4583	1.431764944647535e+000	1.445439770745927e+000
4626	1.234196967950035e+000	1.258925411794167e+000
4630	1.192530660341535e+000	1.202264434617413e+000
4703	1.039968927203035e+000	1.047128548050900e+000
4882	1.018416827634535e+000	1.023292992280754e+000
5013	8.977981055652244e-001	9.120108393559098e-001
5118	8.290849170296644e-001	8.317637711026710e-001
5213	7.412522635291484e-001	7.413102413009175e-001
5272	7.232110149772446e-001	7.244359600749900e-001
5295	6.414276101908882e-001	6.456542290346555e-001
5300	6.133712692089435e-001	6.165950018614822e-001
5313	5.930607888104291e-001	6.025595860743578e-001
5394	5.667085634129163e-001	5.754399373371569e-001
5396	5.293657167280307e-001	5.370317963702527e-001
5457	5.128633630169004e-001	5.248074602497725e-001
5474	4.913180127070099e-001	5.011872336272722e-001
5492	4.896114402483701e-001	4.897788193684462e-001
5505	4.666789918022190e-001	4.677351412871982e-001
5535	4.454557197999843e-001	4.466835921509632e-001
5575	3.868639859785154e-001	3.890451449942806e-001
5658	3.776051926536453e-001	3.801893963205612e-001
5691	3.708792261588607e-001	3.715352290971726e-001
5764	3.624768019643145e-001	3.630780547701014e-001
5799	3.504137761504915e-001	3.548133892335755e-001
5821	3.367564075565619e-001	3.388441561392026e-001
5853	3.303385913379557e-001	3.311311214825911e-001
5929	3.214135420219164e-001	3.235936569296283e-001
5976	2.861147320043280e-001	2.884031503126606e-001
6059	2.809576889112411e-001	2.818382931264454e-001
6064	2.589813004659625e-001	2.630267991895382e-001
6069	1.936685757259473e-001	1.949844599758046e-001
6091	1.831306663689752e-001	1.862087136662868e-001
6103	1.805552816504048e-001	1.819700858609984e-001
6112	1.753432851373153e-001	1.778279410038923e-001
6145	1.731445272886948e-001	1.737800828749375e-001
6182	1.661693609463949e-001	1.698243652461744e-001
6186	1.658976163521313e-001	1.659586907437561e-001
6221	1.618426421300042e-001	1.621810097358930e-001
6235	1.555615256269993e-001	1.584893192461113e-001
6260	1.547562441171299e-001	1.548816618912481e-001
6272	1.509134459471148e-001	1.513561248436208e-001
6363	1.443752955635382e-001	1.445439770745928e-001
6367	1.388062615488077e-001	1.412537544622755e-001
6376	1.279996244375632e-001	1.288249551693134e-001
6414	1.248354384792801e-001	1.258925411794167e-001
6468	1.227495660473899e-001	1.230268770812382e-001
6582	1.198279856494712e-001	1.202264434617413e-001
6600	1.117839490023367e-001	1.122018454301964e-001
6640	1.094729549272666e-001	1.096478196143185e-001
6688	1.043055602888738e-001	1.047128548050900e-001
6774	9.121923125335096e-002	9.332543007969910e-002
6778	9.119990031756509e-002	9.120108393559097e-002
6799	8.388269802642956e-002	8.511380382023763e-002
6811	8.311541330332239e-002	8.317637711026708e-002
6826	7.749378818614672e-002	7.762471166286916e-002
6895	7.563319574673211e-002	7.585775750291836e-002
6902	7.222355741812581e-002	7.244359600749903e-002
6913	6.556685007474372e-002	6.606934480075961e-002
6943	6.447359415025222e-002	6.456542290346556e-002
6993	6.262423655481786e-002	6.309573444801933e-002
7072	6.144028273157676e-002	6.165950018614822e-002
7089	5.515111043560872e-002	5.623413251903491e-002
7103	5.494028494241443e-002	5.495408738576246e-002
7118	5.347165557481826e-002	5.370317963702527e-002
7162	3.733904809659094e-002	3.801893963205612e-002
7175	3.709346401934954e-002	3.715352290971726e-002
7237	3.630529126000126e-002	3.630780547701014e-002
7323	3.548008791652701e-002	3.548133892335755e-002
7394	3.416573703147552e-002	3.467368504525317e-002
7412	3.367593691812520e-002	3.388441561392026e-002
