%
% index = 1580, name = bbob_f015_i02_d05__bbob_f021_i04_d05
% instance = 1, reference value = 9.564644002832891e-001
% function evaluation | indicator value | target hit
1	1.036766527049918e+011	1.047128548050898e+011
2	1.613291759873908e+010	1.621810097358933e+010
3	5.925631606525561e+004	6.025595860743581e+004
5	2.805402731578362e+002	2.818382931264455e+002
6	4.808400497888206e+001	4.897788193684461e+001
195	4.160312676120417e+001	4.168693834703355e+001
278	3.526789249790048e+001	3.548133892335755e+001
313	2.770570479750450e+001	2.818382931264453e+001
429	2.394220632921372e+001	2.398832919019490e+001
474	9.389370035102386e+000	9.549925860214358e+000
700	6.730096461323168e+000	6.760829753919817e+000
722	4.522637921260188e+000	4.570881896148751e+000
818	3.621969797755710e+000	3.630780547701014e+000
820	1.927739265694931e+000	1.949844599758045e+000
1008	1.862165545110789e+000	1.905460717963247e+000
1029	1.382202977977789e+000	1.412537544622754e+000
1250	1.314264024368866e+000	1.318256738556407e+000
1297	9.715105668342891e-001	9.772372209558107e-001
1594	9.438659747051073e-001	9.549925860214360e-001
1642	8.873311397368505e-001	8.912509381337456e-001
1691	7.796753617506695e-001	7.943282347242815e-001
1730	7.201018153504599e-001	7.244359600749900e-001
1739	6.090598873290491e-001	6.165950018614822e-001
1772	5.908281398885268e-001	6.025595860743578e-001
1801	4.705955559058712e-001	4.786300923226383e-001
1820	4.127740203111444e-001	4.168693834703354e-001
1886	4.046378689371218e-001	4.073802778041127e-001
2006	2.921884024853598e-001	2.951209226666385e-001
2068	2.877292090813569e-001	2.884031503126606e-001
2123	2.787008390933007e-001	2.818382931264454e-001
2126	2.536203473277706e-001	2.570395782768864e-001
2414	2.509280640787155e-001	2.511886431509580e-001
2437	2.373444666822751e-001	2.398832919019490e-001
2444	2.277216670926446e-001	2.290867652767773e-001
2482	2.223647134245379e-001	2.238721138568340e-001
2551	2.118569556118036e-001	2.137962089502232e-001
2592	2.009656867861109e-001	2.041737944669530e-001
2614	1.994830046638075e-001	1.995262314968880e-001
2671	1.744059622925182e-001	1.778279410038923e-001
2832	1.699036100065986e-001	1.737800828749375e-001
2836	1.596181958495484e-001	1.621810097358930e-001
3018	1.545834976814003e-001	1.548816618912481e-001
3105	1.476546681400449e-001	1.479108388168208e-001
3235	1.443316406267452e-001	1.445439770745928e-001
3453	1.326893150757433e-001	1.348962882591654e-001
3481	1.268461730710196e-001	1.288249551693134e-001
3504	1.253384605594682e-001	1.258925411794167e-001
3615	1.227140609242894e-001	1.230268770812382e-001
3703	1.185797454278271e-001	1.202264434617413e-001
3742	1.152846622233280e-001	1.174897554939529e-001
3758	1.106461323887090e-001	1.122018454301964e-001
3814	9.953155450055695e-002	1.000000000000000e-001
3885	9.588282683220739e-002	9.772372209558107e-002
3919	9.498145546692360e-002	9.549925860214359e-002
4057	9.235780102643065e-002	9.332543007969910e-002
4247	9.028112397910759e-002	9.120108393559097e-002
4434	8.802533567399462e-002	8.912509381337455e-002
4624	8.691318930360925e-002	8.709635899560805e-002
4708	8.442121578261430e-002	8.511380382023763e-002
4825	8.310453736738654e-002	8.317637711026708e-002
