%
% index = 1370, name = bbob_f008_i02_d05__bbob_f008_i04_d05
% instance = 1, reference value = 9.955577468468280e-001
% function evaluation | indicator value | target hit
1	2.691089631570952e+006	2.691534803926914e+006
2	1.404860353850544e+006	1.412537544622755e+006
3	1.212916392915180e+006	1.230268770812381e+006
4	3.360668724370390e+005	3.388441561392028e+005
5	2.683299814853112e+005	2.691534803926914e+005
6	1.778819381127722e+004	1.819700858609983e+004
10	9.217691125048668e+003	9.332543007969915e+003
41	6.464027838950963e+003	6.606934480075958e+003
48	5.570244496827715e+003	5.623413251903491e+003
192	1.327588234925863e+003	1.348962882591653e+003
374	1.084965111286372e+002	1.096478196143185e+002
429	1.068096696941965e+002	1.071519305237606e+002
738	6.264475430369556e+001	6.309573444801933e+001
758	2.306956820022337e+001	2.344228815319923e+001
797	1.533837012953573e+001	1.548816618912481e+001
1054	4.640232638862021e+000	4.677351412871983e+000
1376	3.007348644894551e+000	3.019951720402016e+000
1385	2.704053165300828e+000	2.754228703338166e+000
1398	1.235725206637953e+000	1.258925411794167e+000
1582	9.258711916583011e-001	9.332543007969910e-001
1736	8.547137504679999e-001	8.709635899560806e-001
1835	8.007197486890674e-001	8.128305161640993e-001
1845	4.996302444779046e-001	5.011872336272722e-001
1900	4.663827109442781e-001	4.677351412871982e-001
1910	4.215032957041153e-001	4.265795188015927e-001
1951	3.341651608771619e-001	3.388441561392026e-001
1984	3.252846935196408e-001	3.311311214825911e-001
2073	3.005745923182002e-001	3.019951720402016e-001
2087	2.710763167036954e-001	2.754228703338166e-001
2096	2.538597629633601e-001	2.570395782768864e-001
2099	2.450296690843729e-001	2.454708915685031e-001
2172	2.365351741946066e-001	2.398832919019490e-001
2203	2.206650415965381e-001	2.238721138568340e-001
2240	2.179610159267956e-001	2.187761623949552e-001
2241	2.032147978913368e-001	2.041737944669530e-001
2271	1.829160513884296e-001	1.862087136662868e-001
2283	1.747989025273944e-001	1.778279410038923e-001
2291	1.728465964854784e-001	1.737800828749375e-001
2307	1.593096837558629e-001	1.621810097358930e-001
2402	1.556221761414313e-001	1.584893192461113e-001
2413	1.548583858008141e-001	1.548816618912481e-001
2414	1.509884268343945e-001	1.513561248436208e-001
2424	1.114457482934238e-001	1.122018454301964e-001
2433	1.030518001837989e-001	1.047128548050900e-001
2442	9.403600167565640e-002	9.549925860214359e-002
2479	8.548963804181442e-002	8.709635899560805e-002
2484	8.492658310082712e-002	8.511380382023763e-002
2555	7.822533984056612e-002	7.943282347242814e-002
2566	7.592298613657600e-002	7.762471166286916e-002
2596	7.394543442521884e-002	7.413102413009177e-002
2621	7.032875947606376e-002	7.079457843841380e-002
2652	5.348082784726238e-002	5.370317963702527e-002
2654	4.922017940273160e-002	5.011872336272722e-002
2655	4.584490579999401e-002	4.677351412871982e-002
2721	3.700745919101500e-002	3.715352290971726e-002
2774	3.575339925315413e-002	3.630780547701014e-002
