%
% index = 130, name = bbob_f002_i02_d02__bbob_f013_i04_d02
% instance = 1, reference value = 9.124745027580440e-001
% function evaluation | indicator value | target hit
1	3.666816171383104e+003	3.715352290971724e+003
2	4.774633796811188e+002	4.786300923226385e+002
6	9.374971622368602e+001	9.549925860214358e+001
9	8.923826890205285e+001	9.120108393559097e+001
10	7.272078462193235e+001	7.413102413009177e+001
13	6.703773580039852e+001	6.760829753919819e+001
37	5.623171973276272e+001	5.623413251903491e+001
51	1.623900091213639e+001	1.659586907437561e+001
96	1.578962978899428e+001	1.584893192461113e+001
164	8.036671852568045e+000	8.128305161640993e+000
208	6.214077400850277e+000	6.309573444801933e+000
219	4.931725313501037e+000	5.011872336272722e+000
324	1.480996819615044e+000	1.513561248436208e+000
530	7.422916100042943e-001	7.585775750291838e-001
589	7.304642062714774e-001	7.413102413009175e-001
710	5.730423086126961e-001	5.754399373371569e-001
718	4.768803633077934e-001	4.786300923226383e-001
801	3.130417531304831e-001	3.162277660168379e-001
809	2.540656265861028e-001	2.570395782768864e-001
812	2.453656243144692e-001	2.454708915685031e-001
815	2.059271109608302e-001	2.089296130854039e-001
817	1.941156787258231e-001	1.949844599758046e-001
893	1.545176369083395e-001	1.548816618912481e-001
991	9.819309822150280e-002	1.000000000000000e-001
1025	9.718747689340879e-002	9.772372209558107e-002
1068	6.327962575640489e-002	6.456542290346556e-002
1096	6.087755536871586e-002	6.165950018614822e-002
1101	5.762258843285517e-002	5.888436553555890e-002
1117	5.734835020962914e-002	5.754399373371569e-002
1194	5.445552158528311e-002	5.495408738576246e-002
1196	5.020484221910793e-002	5.128613839913648e-002
1213	4.970941172966370e-002	5.011872336272722e-002
1242	4.848788699133633e-002	4.897788193684461e-002
1255	4.547124365391275e-002	4.570881896148749e-002
1311	4.446471326524870e-002	4.466835921509630e-002
1324	4.356022536232163e-002	4.365158322401658e-002
1343	4.197779675119506e-002	4.265795188015926e-002
1363	4.163586981326550e-002	4.168693834703355e-002
1366	3.960514733478304e-002	3.981071705534973e-002
1406	3.826667837986941e-002	3.890451449942807e-002
1409	3.552524037425731e-002	3.630780547701014e-002
1427	3.515447537698158e-002	3.548133892335755e-002
1476	3.463371864548215e-002	3.467368504525317e-002
1492	3.297467301343948e-002	3.311311214825911e-002
1499	3.180619052716605e-002	3.235936569296283e-002
1546	3.150742053767952e-002	3.162277660168379e-002
1548	3.063451471228751e-002	3.090295432513590e-002
1551	2.883267421021107e-002	2.884031503126606e-002
1552	2.471668797497961e-002	2.511886431509579e-002
1568	2.449388030137412e-002	2.454708915685030e-002
1579	2.145865507272549e-002	2.187761623949553e-002
1587	1.954562670551696e-002	1.995262314968880e-002
1592	1.838770290461311e-002	1.862087136662868e-002
1604	1.819597690702590e-002	1.819700858609984e-002
1623	1.756332795944948e-002	1.778279410038923e-002
1627	1.734633984414458e-002	1.737800828749376e-002
1639	1.641665990300922e-002	1.659586907437561e-002
1643	1.582059704579741e-002	1.584893192461113e-002
1646	1.545394753024432e-002	1.548816618912481e-002
1661	1.505474282417929e-002	1.513561248436208e-002
1672	1.474303350043871e-002	1.479108388168207e-002
1692	1.441833726500541e-002	1.445439770745927e-002
1738	1.350883238741485e-002	1.380384264602885e-002
1741	1.345832665354985e-002	1.348962882591653e-002
1755	1.314596368132903e-002	1.318256738556408e-002
1782	1.274325352703032e-002	1.288249551693134e-002
1788	1.230866848218015e-002	1.258925411794168e-002
1789	1.194810952080250e-002	1.202264434617413e-002
1796	1.134100541043726e-002	1.148153621496883e-002
1804	1.099312268762365e-002	1.122018454301964e-002
1808	1.077683153778331e-002	1.096478196143185e-002
1818	1.055313609827147e-002	1.071519305237607e-002
1822	1.045077965777341e-002	1.047128548050900e-002
1826	1.019837063495599e-002	1.023292992280754e-002
1849	9.962952699993255e-003	1.000000000000000e-002
1886	9.611598917009023e-003	9.772372209558112e-003
1893	9.390310029087079e-003	9.549925860214359e-003
1899	9.324407052878736e-003	9.332543007969915e-003
